"ROW_ID","ICD9_CODE","SHORT_TITLE","LONG_TITLE"
14048,"V706","Health exam-pop survey","Health examination in population surveys"
13084,"V1020","Hx-resp org malignan NOS","Personal history of malignant neoplasm of respiratory organ, unspecified"
10186,"V4965","Status amput below elbow","Below elbow amputation status"
10194,"V4975","Status amput below knee","Below knee amputation status"
10205,"V499","Probl influ health NOS","Unspecified problems with limbs and other problems"
10210,"9163","Blister hip & leg-infect","Blister of hip, thigh, leg, and ankle, infected"
10509,"99566","Anphylct react food addv","Anaphylactic reaction due to food additives"
10727,"E9063","Animal bite NEC","Bite of other animal except arthropod"
9827,"E8842","Fall from chair","Accidental fall from chair"
11381,"9269","Crushing inj trunk NOS","Crushing injury of unspecified site of trunk"
11639,"E9194","Woodworking machine acc","Accidents caused by woodworking and forming machines"
11715,"E9587","Injury-caustic substance","Suicide and self-inflicted injury by caustic substances, except poisoning"
12782,"V582","Blood transfusion, no dx","Blood transfusion, without reported diagnosis"
12810,"V5882","Fit/adj non-vsc cath NEC","Fitting and adjustment of nonvascular catheter, NEC"
12029,"V5426","Aftrcare path fx low leg","Aftercare for healing pathologic fracture of lower leg"
12053,"71993","Joint dis NOS-forearm","Unspecified disorder of joint, forearm"
13141,"9790","Poison-smallpox vaccine","Poisoning by smallpox vaccine"
9943,"E9497","Adv eff mixed viral-bact","Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component, causing adverse effects in therapeutic use"
10565,"94349","Deep 3 deg burn arm-mult","Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of multiple sites of upper limb, except wrist and hand"
10567,"94351","3rd burn w loss-forearm","Deep necrosis of underlying tissues [deep third degree) with loss of a body part, of forearm"
11184,"94444","Deep 3rd brn fngr w thmb","Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, two or more digits of hand including thumb"
10865,"73620","Acq finger deformity NOS","Unspecified deformity of finger"
12338,"9351","Foreign body esophagus","Foreign body in esophagus"
12388,"99813","Seroma complicting proc","Seroma complicating a procedure"
9357,"7892","Splenomegaly","Splenomegaly"
12134,"78322","Underweight","Underweight"
9372,"78945","Abdmnal rgdt periumbilic","Abdominal rigidity, periumbilic"
10035,"7914","Biliuria","Biliuria"
9748,"95911","Injury of chest wall NEC","Other injury of chest wall"
11508,"67590","Breast inf preg NOS-unsp","Unspecified infection of the breast and nipple associated with childbirth, unspecified as to episode of care or not applicable"
11528,"67630","Breast dis preg NEC-unsp","Other and unspecified disorder of breast associated with childbirth, unspecified as to episode of care or not applicable"
10884,"73679","Acq ankle-foot def NEC","Other acquired deformities of ankle and foot"
10899,"73732","Progr idiopath scoliosis","Progressive infantile idiopathic scoliosis"
10943,"79414","Abn oculomotor studies","Nonspecific abnormal oculomotor studies"
10944,"79415","Abn auditory funct study","Nonspecific abnormal auditory function studies"
10966,"V184","Fm hx-intellect disablty","Family history of intellectual disabilities"
12444,"80508","Fx mult cervical vert-cl","Closed fracture of multiple cervical vertebrae"
12679,"66823","Cns compl in del-antepar","Central nervous system complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication"
13568,"67032","Prp sptc thrmb-del w p/p","Puerperal septic thrombophlebitis, delivered, with mention of postpartum complication"
13946,"V1252","Hx-thrombophlebitis","Personal history of thrombophlebitis"
13295,"80628","T7-t12 fx-cl/cen crd syn","Closed fracture of T7-T12 level with central cord syndrome"
13304,"80637","T7-t12 fx-op/ant crd syn","Open fracture of T7-T12 level with anterior cord syndrome"
10105,"V162","Fam hx-intrathoracic mal","Family history of malignant neoplasm of other respiratory and intrathoracic organs"
10121,"V172","Fam hx-neurolog dis NEC","Family history of other neurological diseases"
10387,"90183","Inj mult thoracic vessel","Injury to multiple blood vessels of thorax"
11343,"9676","Poison-mix sedative NEC","Poisoning by mixed sedatives, not elsewhere classified"
11346,"9680","Pois-cns muscle depress","Poisoning by central nervous system muscle-tone depressants"
11569,"9710","Pois-parasympathomimetic","Poisoning by parasympathomimetics (cholinergics)"
11607,"E8559","Acc poison-cns drug NOS","Accidental poisoning by unspecified drug acting on central and autonomic nervous systems"
14556,"V8554","BMI,pediatric >= 95%","Body Mass Index, pediatric, greater than or equal to 95th percentile for age"
9353,"78906","Abdmnal pain epigastric","Abdominal pain, epigastric"
14066,"V719","Observ-suspect cond NOS","Observation for unspecified suspected condition"
14298,"94540","Deep 3rd deg brn leg NOS","Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, lower limb [leg], unspecified site"
